ddyi,っぢぃ
ddye,っぢぇ
ddi,っぢ
ddu,っづ
ddha,っでゃ
ddhi,っでぃ
ddhu,っでゅ
ddhe,っでぇ
ddho,っでょ
dde,っで
ddwa,っどぁ
ddwi,っどぃ
ddwu,っどぅ
ddwe,っどぇ
ddwo,っどぉ
ddo,っど
bba,っば
bbya,っびゃ
bbyu,っびゅ
bbyo,っびょ
bbyi,っびぃ
bbye,っびぇ
bbi,っび
bbu,っぶ
bbe,っべ
bbo,っぼ
ppa,っぱ
ppya,っぴゃ
ppyu,っぴゅ
ppyo,っぴょ
ppyi,っぴぃ
ppye,っぴぇ
ppi,っぴ
ppu,っぷ
ppe,っぺ
ppo,っぽ
vva,っゔぁ
vvi,っゔぃ
vvyi,っゔぃ
vve,っゔぇ
vvye,っゔぇ
vvo,っゔぉ
vvya,っゔゃ
vvyu,っゔゅ
vvyo,っゔょ
vvu,っゔ
xtu,っ
ltu,っ
xtsu,っ
ltsu,っ
tsa,つぁ
tsi,つぃ
tse,つぇ
tso,つぉ
tu,つ
tsu,つ
tha,てゃ
thi,てぃ
thu,てゅ
the,てぇ
tho,てょ
te,て
twa,とぁ
twi,とぃ
twu,とぅ
twe,とぇ
two,とぉ
to,と
na,な
nya,にゃ
nyu,にゅ
nyo,にょ
nyi,にぃ
nye,にぇ
ni,に
nu,ぬ
ne,ね
no,の
ha,は
hya,ひゃ
hyu,ひゅ
hyo,ひょ
hyi,ひぃ
hye,ひぇ
hi,ひ
fa,ふぁ
fwa,ふぁ
hwa,ふぁ
fi,ふぃ
fwi,ふぃ
fwu,ふぅ
fe,ふぇ
fwe,ふぇ
fo,ふぉ
fwo,ふぉ
fya,ふゃ
fyu,ふゅ
fyo,ふょ
hu,ふ
fu,ふ
he,へ
ho,ほ
ma,ま
mya,みゃ
myu,みゅ
myo,みょ
myi,みぃ
mye,みぇ
mi,み
mu,む
me,め
mo,も
xya,ゃ
lya,ゃ
ya,や
xyu,ゅ
lyu,ゅ
yu,ゆ
xyo,ょ
lyo,ょ
yo,よ
ra,ら
rya,りゃ
ryu,りゅ
ryo,りょ
ryi,りぃ
rye,りぇ
ri,り
ru,る
re,れ
ro,ろ
wa,わ
wo,を
nn,ん
xn,ん
ga,が
gya,ぎゃ
gyu,ぎゅ
gyo,ぎょ
gyi,ぎぃ
gye,ぎぇ
gi,ぎ
gwa,ぐぁ
gwi,ぐぃ
gwu,ぐぅ
gwe,ぐぇ
gwo,ぐぉ
gu,ぐ
ge,げ
go,ご
za,ざ
zya,じゃ
ja,じゃ
jya,じゃ
zyu,じゅ
ju,じゅ
jyu,じゅ
zyo,じょ
jo,じょ
jyo,じょ
zyi,じぃ
jyi,じぃ
je,じぇ
zye,じぇ
jye,じぇ
zi,じ
ji,じ
zu,ず
ze,ぜ
zo,ぞ
da,だ
dya,ぢゃ
dyu,ぢゅ
dyo,ぢょ
dyi,ぢぃ
dye,ぢぇ
di,ぢ
du,づ
dha,でゃ
dhi,でぃ
dhu,でゅ
dhe,でぇ
dho,でょ
de,で
dwa,どぁ
dwi,どぃ
dwu,どぅ
dwe,どぇ
dwo,どぉ
do,ど
ba,ば
bya,びゃ
byu,びゅ
byo,びょ
byi,びぃ
bye,びぇ
bi,び
bu,ぶ
be,べ
bo,ぼ
pa,ぱ
pya,ぴゃ
pyu,ぴゅ
pyo,ぴょ
pyi,ぴぃ
pye,ぴぇ
pi,ぴ
pu,ぷ
pe,ぺ
po,ぽ
va,ゔぁ
vi,ゔぃ
vyi,ゔぃ
ve,ゔぇ
vye,ゔぇ
vo,ゔぉ
vya,ゔゃ
vyu,ゔゅ
vyo,ゔょ
vu,ゔ
